State,Track,Artist,Popularity
Alabama,Africa,TOTO,86
Alabama,Summer Breeze,Seals and Crofts,67
Alabama,Minute by Minute,The Doobie Brothers,63
Alaska,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,95
Alaska,Boy's a Liar Pt. 2,PinkPantheress,95
Alaska,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey,0
Arizona,For What It's Worth,Buffalo Springfield,80
Arizona,Look At Us Now (Honeycomb),Daisy Jones & The Six,74
Arizona,Dani California,Red Hot Chili Peppers,54
Arkansas,Kill Bill,SZA,91
Arkansas,Area Codes,Kali,88
Arkansas,Popular (with Playboi Carti & Madonna),The Weeknd,79
California,Kill Bill,SZA,91
California,Area Codes,Kali,88
California,Popular (with Playboi Carti & Madonna),The Weeknd,79
Colorado,Last Night,Morgan Wallen,90
Colorado,Fast Car,Luke Combs,89
Colorado,You Proof,Morgan Wallen,80
Connecticut,Need A Favor,Jelly Roll,79
Connecticut,Bury Me in Georgia - Single Edit,Kane Brown,74
Connecticut,I'll Be Lovin' You,Miranda Lambert,74
Delaware,Beautiful Crazy,Luke Combs,83
Delaware,Love You Anyway,Luke Combs,78
Delaware,5 Leaf Clover,Luke Combs,74
Florida,Kill Bill,SZA,91
Florida,Area Codes,Kali,88
Florida,Popular (with Playboi Carti & Madonna),The Weeknd,79
Georgia,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,95
Georgia,Boy's a Liar Pt. 2,PinkPantheress,95
Georgia,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey,0
Hawaii,Kill Bill,SZA,91
Hawaii,Area Codes,Kali,88
Hawaii,Popular (with Playboi Carti & Madonna),The Weeknd,79
Idaho,Creep,Radiohead,88
Idaho,No Surprises,Radiohead,84
Idaho,High and Dry,Radiohead,78
Illinois,Last Night,Morgan Wallen,90
Illinois,Fast Car,Luke Combs,89
Illinois,You Proof,Morgan Wallen,80
Indiana,Rich Flex,Drake,90
Indiana,Jimmy Cooks (feat. 21 Savage),Drake,89
Indiana,Fair Trade (with Travis Scott),Drake,87
Iowa,Kill Bill,SZA,91
Iowa,Area Codes,Kali,88
Iowa,Popular (with Playboi Carti & Madonna),The Weeknd,79
Kansas,Kill Bill,SZA,91
Kansas,Area Codes,Kali,88
Kansas,Popular (with Playboi Carti & Madonna),The Weeknd,79
Kentucky,Last Night,Morgan Wallen,90
Kentucky,Fast Car,Luke Combs,89
Kentucky,You Proof,Morgan Wallen,80
Louisiana,Kill Bill,SZA,91
Louisiana,Area Codes,Kali,88
Louisiana,Popular (with Playboi Carti & Madonna),The Weeknd,79
Maine,Oye Mi Amor,Maná,79
Maine,Rayando el Sol,Maná,78
Maine,Te Lloré Un Río,Maná,72
Maryland,Beautiful Crazy,Luke Combs,83
Maryland,Love You Anyway,Luke Combs,78
Maryland,5 Leaf Clover,Luke Combs,74
Massachusetts,El Merengue,Marshmello,91
Massachusetts,Esta Vida,Marshmello,81
Massachusetts,Grown Man,Marshmello,76
Michigan,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,95
Michigan,Boy's a Liar Pt. 2,PinkPantheress,95
Michigan,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey,0
Minnesota,Ain't No Mountain High Enough,Marvin Gaye,86
Minnesota,Can't Help Falling in Love,Elvis Presley,81
Minnesota,Fever,Peggy Lee,65
Mississippi,Last Night,Morgan Wallen,90
Mississippi,Fast Car,Luke Combs,89
Mississippi,You Proof,Morgan Wallen,80
Missouri,Last Night,Morgan Wallen,90
Missouri,Fast Car,Luke Combs,89
Missouri,You Proof,Morgan Wallen,80
Montana,Revenge,XXXTENTACION,88
Montana,Hope,XXXTENTACION,86
Montana,Look At Me!,XXXTENTACION,82
Nebraska,Kill Bill,SZA,91
Nebraska,Area Codes,Kali,88
Nebraska,Popular (with Playboi Carti & Madonna),The Weeknd,79
Nevada,Kill Bill,SZA,91
Nevada,Area Codes,Kali,88
Nevada,Popular (with Playboi Carti & Madonna),The Weeknd,79
New Hampshire,Darkside,Alan Walker,76
